,count,mean,std,min,25%,50%,75%,max
X,513.0,4.678362573099415,2.3200593610070612,1.0,3.0,4.0,7.0,9.0
Y,513.0,4.300194931773879,1.2309247512246224,2.0,4.0,4.0,5.0,9.0
month,513.0,7.485380116959064,2.2750945854638682,1.0,7.0,8.0,9.0,12.0
day,513.0,4.251461988304094,2.075038310785627,1.0,2.0,5.0,6.0,7.0
FFMC,513.0,90.6374269005848,5.540920466513487,18.7,90.2,91.6,92.9,96.2
DMC,513.0,110.98927875243665,64.19101272996944,1.1,68.6,108.3,142.4,291.3
DC,513.0,549.1551656920077,247.7245942322265,7.9,440.9,664.5,713.9,860.6
ISI,513.0,9.023586744639376,4.5755431287046635,0.0,6.4,8.4,11.0,56.1
temp,513.0,18.887524366471734,5.82812753953453,2.2,15.5,19.3,22.8,33.3
RH,513.0,44.34892787524367,16.358802933546695,15.0,33.0,42.0,53.0,100.0
wind,513.0,4.010526315789474,1.7966131102057448,0.4,2.7,4.0,4.9,9.4
rain,513.0,0.021832358674463936,0.29710674370332985,0.0,0.0,0.0,0.0,6.4
area,513.0,12.891598440545808,63.89258589387051,0.0,0.0,0.54,6.57,1090.84
area_log,513.0,1.11308093824828,1.3976846233127675,0.0,0.0,0.4317824164255378,2.0241930674493576,6.995619625423205
